gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000267467.3	APOC4	1.30E-41	3	1	3.82E-46	mashr_Brain_Caudate_basal_ganglia	0.916166996	mashr_Spleen	2.079899742	1.58E-16	2.079899742	0.105263159	14.26123619	9.542578513	8.172954841	1	0
ENSG00000203710.10	CR1	1.32E-31	9	1	1.99E-33	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.209362938	mashr_Brain_Hypothalamus	6.976830918	9.00E-19	6.976830918	-2.101123571	12.04807663	8.974690207	5.411252275	1	0
ENSG00000120885.21	CLU	8.93E-27	4	1	1.28E-33	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.011016701	mashr_Spleen	2.295030367	0.194962288	2.295030367	-12.08433723	-2.542168617	-7.496837878	4.507368084	1	0
ENSG00000104853.15	CLPTM1	7.11E-24	11	1	1.97E-27	mashr_Pituitary	0.283883441	mashr_Brain_Hypothalamus	8.328706813	2.32E-18	8.328706813	-10.85096169	10.85096169	2.601725577	9.405335963	1	0
ENSG00000138613.13	APH1B	6.65E-21	10	1	1.65E-21	mashr_Pituitary	0.507046894	mashr_Brain_Hypothalamus	6.888066604	1.47E-17	6.888066604	-2.358778715	9.524825786	6.600143415	4.499685311	1	0
ENSG00000214787.9	MS4A4E	7.24E-21	4	1	3.06E-20	mashr_Brain_Substantia_nigra	1.02E-19	mashr_Spleen	3.841759954	1.24E-17	3.841759954	9.087111534	9.216867447	9.184428469	0.064877957	1	0
ENSG00000267114.1	CTB-129P6.11	7.91E-21	2	1	2.10E-21	mashr_Brain_Anterior_cingulate_cortex_BA24	3.81E-20	mashr_Brain_Nucleus_accumbens_basal_ganglia	1.993907323	0.006092677	1.993907323	-9.5	-9.193181992	-9.346590996	0.216953094	1	0
ENSG00000234906.9	APOC2	3.80E-18	11	1	2.96E-30	mashr_Brain_Putamen_basal_ganglia	0.018712375	mashr_Brain_Substantia_nigra	9.362276785	3.35E-17	9.362276785	-6.517947585	11.43001059	5.628591876	6.396010406	1	0
ENSG00000186567.12	CEACAM19	5.30E-18	11	1	6.50E-19	mashr_Brain_Amygdala	1.23E-14	mashr_Brain_Cortex	10.45984303	1.78E-18	10.45984303	7.71238522	8.883156088	8.427458573	0.386904025	1	0
ENSG00000073921.17	PICALM	9.96E-17	8	1	1.58E-19	mashr_Brain_Amygdala	0.001496102	mashr_Pituitary	3.621266101	1.79E-17	3.621266101	-4.10309267	9.038834572	4.544078708	4.49537791	1	0
ENSG00000159640.15	ACE	1.31E-16	10	1	5.20E-17	mashr_Brain_Putamen_basal_ganglia	3.95E-12	mashr_Spleen	9.474963454	1.52E-18	9.474963454	-8.190476418	8.382086535	-6.378313134	5.200366787	1	0
ENSG00000149534.8	MS4A2	7.96E-15	1	1	7.96E-15	mashr_Spleen	7.96E-15	mashr_Spleen	1	1	1	-7.768292904	-7.768292904	-7.768292904	NA	1	0
ENSG00000087589.16	CASS4	2.49E-14	11	1	6.04E-16	mashr_Brain_Putamen_basal_ganglia	0.441756319	mashr_Spleen	8.181068193	7.64E-18	8.181068193	-8.088435173	8.088435173	-4.575034107	5.01892057	1	0
ENSG00000161929.14	SCIMP	1.71E-13	11	1	2.12E-12	mashr_Brain_Substantia_nigra	0.472206231	mashr_Brain_Anterior_cingulate_cortex_BA24	5.351783019	5.07E-17	5.351783019	0.718894005	7.026043771	4.609690532	2.557097132	1	0
ENSG00000073008.14	PVR	4.49E-13	11	1	3.07E-18	mashr_Brain_Cortex	1.18E-05	mashr_Brain_Hypothalamus	9.611393955	5.95E-18	9.611393955	-8.708976888	-4.381981811	-6.766455905	1.707849337	1	0
ENSG00000030582.17	GRN	2.51E-12	9	1	1.71E-12	mashr_Brain_Putamen_basal_ganglia	0.789002895	mashr_Brain_Hypothalamus	6.935579399	8.67E-19	6.935579399	-7.056390486	0.393617034	-5.407653272	3.107384815	1	0
ENSG00000237541.3	HLA-DQA2	4.10E-12	5	1	7.84E-12	mashr_Pituitary	4.06E-06	mashr_Brain_Cortex	3.280900295	1.34E-16	3.280900295	-6.841463566	-4.608446118	-5.572145671	1.161570937	1	0
ENSG00000204290.10	BTNL2	1.32E-11	8	1	1.58E-10	mashr_Brain_Cortex	0.670713216	mashr_Pituitary	3.234643855	7.17E-17	3.234643855	0.425169363	6.397165051	3.709100008	2.476452736	1	0
ENSG00000261218.5	RP11-960L18.1	1.74E-11	4	1	2.29E-11	mashr_Brain_Hippocampus	0.352250674	mashr_Brain_Anterior_cingulate_cortex_BA24	2.010504822	8.57E-33	2.010504822	-1.047169805	6.6860466	3.313788995	3.976746808	1	0
ENSG00000197093.10	GAL3ST4	2.51E-11	3	1	5.88E-10	mashr_Spleen	2.33E-08	mashr_Brain_Hippocampus	2.261326219	0.193109372	2.261326219	-6.193548203	5.707316875	-2.0238657	6.70230255	1	0
ENSG00000249061.1	RP11-72L22.1	8.85E-11	1	1	8.85E-11	mashr_Brain_Substantia_nigra	8.85E-11	mashr_Brain_Substantia_nigra	1	1	1	-6.485436916	-6.485436916	-6.485436916	NA	1	0
ENSG00000188186.10	LAMTOR4	1.00E-10	10	1	1.18E-12	mashr_Brain_Amygdala	0.027979059	mashr_Brain_Cortex	6.934046988	1.25E-17	6.934046988	-7.107371752	4.825950724	-3.200765509	4.616673469	1	0
ENSG00000130203.9	APOE	3.72E-10	1	1	3.72E-10	mashr_Brain_Caudate_basal_ganglia	3.72E-10	mashr_Brain_Caudate_basal_ganglia	1	1	1	6.265151501	6.265151501	6.265151501	NA	1	0
